2025-04-09 00:26:11,259 INFO    Thread-510 (_run_job):46671 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_setup.py:_flush():67] Configure stats pid to 46671
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_setup.py:_flush():67] Loading settings from /home/abinash/.config/wandb/settings
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_setup.py:_flush():67] Loading settings from /home/abinash/DA6401/DA6401_Assignment2/wandb/settings
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/abinash/DA6401/DA6401_Assignment2/wandb/run-20250409_002611-m9r0s84h/logs/debug.log
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/abinash/DA6401/DA6401_Assignment2/wandb/run-20250409_002611-m9r0s84h/logs/debug-internal.log
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():781] calling init triggers
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():786] wandb.init called with sweep_config: {'batch_size': 64, 'learning_rate': 0.0005888158890953578, 'model_type': 'EfficientNetV2', 'optimizer': 'adam', 'trainable_layers': 5, 'weight_decay': 0.0008713884398652137}
config: {'_wandb': {}}
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():809] starting backend
2025-04-09 00:26:11,260 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():813] sending inform_init request
2025-04-09 00:26:11,262 INFO    Thread-510 (_run_job):46671 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-09 00:26:11,262 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():823] backend started and connected
2025-04-09 00:26:11,263 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_config_callback():1327] config_cb None None {'batch_size': 64, 'learning_rate': 0.0005888158890953578, 'model_type': 'EfficientNetV2', 'optimizer': 'adam', 'trainable_layers': 5, 'weight_decay': 0.0008713884398652137}
2025-04-09 00:26:11,267 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():915] updated telemetry
2025-04-09 00:26:11,273 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-09 00:26:11,963 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():1014] starting run threads in backend
2025-04-09 00:26:12,012 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_console_start():2454] atexit reg
2025-04-09 00:26:12,012 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-09 00:26:12,012 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-09 00:26:12,012 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-09 00:26:12,013 INFO    Thread-510 (_run_job):46671 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-09 00:33:05,260 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_finish():2189] finishing run ee20d201-indian-institute-of-technology-madras/DA6401_Assignment_2/m9r0s84h
2025-04-09 00:33:05,261 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 0
2025-04-09 00:33:05,261 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_restore():2401] restore
2025-04-09 00:33:05,261 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_restore():2407] restore done
2025-04-09 00:33:06,835 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-09 00:33:06,836 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-09 00:33:06,836 INFO    Thread-510 (_run_job):46671 [wandb_run.py:_footer_sync_info():4025] logging synced files
